"N","Dizinha","#88bff7","Kurumin","2004.1.4","2008",,,,,,,,,,,
"N","Knorpora","#4169E1","Knoppix","2004.4.29","2004.4.29",,,,,,,,,,,
"N","NeoDizinha","#b6dbf6","Dizinha","2006.5","2009.12.26",,,"Patinho Faminto","2006.8",,,,,,,
"N","Kalango","#a0a067","Kurumin","2004.2.1","2006.11.7",,,,,,,,,,,
"N","Poseidon","#42328e","Kurumin","2005.3.10","2012.07.27",,,,,,,,,,,
"N","Quantian","#3366dd","Knoppix","2003.3.6","2006.3.1",,,,,,,,,,,
"N","Damn Small Linux","#cb9340","Knoppix","2003.6","2015.09.27",,,,,,,,,,,
"N","Hikarunix","#e48535","Damn Small Linux","2004.9.17","2005.9.21",,,,,,,,,,,
"N","DSL-N","#000","Damn Small Linux","2006.5.8","2006.8.24",,,,,,,,,,,
"N","Damn Vulnerable Linux","#ef0101","Damn Small Linux","2006.11","2010.12",,,,,,,,,,,
"N","Morphix","#8b8b8b","Knoppix","2003.3.19","2010.3.29",,,,,,,,,,,
"N","Hiwix","#15A7E5","Morphix","2004.2.28","2004.7.22",,,"Hiweed Desktop","2004.3.3",,,,,,,
"N","Aquamorph","#38587c","Morphix","2004.5","2007.09.05",,,,,,,,,,,
"N","ZoneCD","#020202","Morphix","2004.6","2005.11.16",,,,,,,,,,,
"N","Dreamlinux","#009c9c","Morphix","2006.2.12","2012.9",,,,,,,,,,,
"N","Shift Linux","#006e92","Morphix","2006.07.1","2009.05.8",,,,,,,,,,,
"N","Danix","#3b679f","Knoppix","2003.11.5","2008.10.08",,,,,,,,,,,
"N","Shabdix","#f64f67","Knoppix","2003.12.26","2004.9",,,,,,,,,,,
"N","INSERT","#003399","Knoppix","2003.8.1","2007.2.27",,,,,,,,,,,
"N","KnoppMyth","#92bac4","Knoppix","2003.8.8","2009.1.28",,,,,,,,,,,
"N","Medialinux","#778888","Knoppix","2003.11","2014.09.16",,,"Mediainlinux","2004.7",,"ArtistX","2006.11",,,,
"N","Kanotix","#c8b582","Knoppix","2003.12.24",,,,,,,,,,,,
"N","Parsix","#e48535","Kanotix","2005.1.25","2017.05.19",,,,,,,,,,,
"N","Feather","#828282","Knoppix","2003.12","2005.7.4",,,,,,,,,,,
"N","Bioknoppix","#5e4ab0","Knoppix","2004.2.20","2004.8.13",,,,,,,,,,,
"N","Joatha","#000","Knoppix","2004.4",,,,,,,,,,,,
"N","Auditor Security Collection","#557c94","Knoppix","2004.5.20","2010.1.9",,,"Backtrack","2006.5.26",,,,,,,
"N","MAX","#477dbe","Knoppix","2004.5.27","2007.03",,,,,,,,,,,
"N","B2D","#99ccff","Knoppix","2004.6","2010.5.16",,,,"INFO:",,,,,,,
"N","Kaella","#be2800","Knoppix","2004.7","2008.09.20",,,,,,,,,,,
"N","Whoppix","#445fff","Knoppix","2004.8","2005.7.3",,,,,,,,,,,
"N","Symphony OS","#d41316","Knoppix","2005.5.12","2016.07.28",,,,,,,,,,,
"N","ParallelKnoppix","#a0553c","Knoppix","2005.4.25","2008.3.1",,,,,,,,,,,
"N","Musix","#000064","Knoppix","2005.9.12","2017.03.28",,,,,,,,,,,
"N","Gibraltar","#f00","Debian","2000.7.31","2014.04.14",,,,,,,,,,,
"N","Progeny","#121356","Debian","2001.4.9","2007.4.30",,,,,,,,,,,
"N","Skolelinux","#e0b1b7","Debian","2001.7.2",,,,"DebianEdu","2016.07.3",,,,,,,
"N","DeMuDi","#be41e3","Debian","2001.7.19","2006",,,,,,,,,,,
"N","64Studio","#ABBEE4","DeMuDi","2005.4","2013.04.21",,,,,,,,,,,
"N","Lindows","#3b806e","Debian","2001.8",,,,"Linspire","2004",,,,,,,
"N","Freespire","#007197","Lindows","2006.4.24",,,,,,,,,,,,
"N","gnuLinEx","#30632a","Debian","2002.6.9","2011.12.31",,,,,,,,,,,
"N","Lihuen","#b3c4ac","gnuLinEx","2005.9.1",,,,,,,,,,,,
"N","Rxart","#666666","Debian","2002.12",,,,,,,,,,,,
"N","BlackRhino","#e55522","Debian","2003.3.4","2007.5",,,,,,,,,,,
"N","miniwoody","#12ad12","Debian","2003.3.15","2004.1.14",,,"Bonzai","2003.5.20",,,,,,,
"N","MEPIS","#8598c0","Debian","2003.5","2016.07.29",,,"SimplyMEPIS","2004.9.7",,,,,,,
"N","antiX","#443300","MEPIS","2007.8.22",,,,,,,,,,,,
"N","Swift","#00ae01","antiX","2010.11.15",,,,,,,,,,,,
"N","ASLinux","#e3763f","Debian","2003.10.1","2008.02.10",,,,,,,,,,,
"N","Impi","#050505","Debian","2003.11.1","2006.1",,,,,,,,,,,
"N","Xebian","#dfdfdf","Debian","2003.12.17","2005.6.28",,,,,,,,,,,
"N","Bluewall","#4bb8c9","Debian","2004.1.6","2006.2.5",,,,,,,,,,,
"N","Amber","#ff9900","Debian","2004.2","2006.4",,,,,,,,,,,
"N","K-DEMar","#416db7","Debian","2004.2.14","2017.05.15",,,"kademar","2009.6.6",,,,,,,
"N","Guadalinex","#369036","Debian","2004.2.24","2017.11.21",,,,,,,,,,,
"N","Euronode","#ff2222","Debian","2004.3.13","2006.1.10",,,,"INFO:",,,,,,,
"N","DRBL","#333","Debian","2004.4.1",,,,,,,,,,,,
"N","DeadCD","#9bb657","Debian","2004.4","2006.6",,,"Olive","2006.5",,,,,,,
"N","Clonezilla Live","#f79f5d","Debian","2004.5",,,,,,,,,,,,
"N","Underground Desktop","#cc3344","Debian","2004.6","2006.10.14",,,,,,,,,,,
"N","Hiweed Linux","#15A7E5","Debian","2004.7.22","2006.09.25",,,,,,,,,,,
"N","grml","#e7c71c","Debian","2004.8.31",,,,,,,,,,,,
"N","UserLinux","#ddbb66","Debian","2004.9","2005.5",,,,,,,,,,,
"N","Ubuntu","#e95420","Debian","2004.10.20",,,,,,,,,,,,
"N","Ubuntu Touch","#e95420","Ubuntu","2013.10.17",,,,,,,,,,,,
"N","Kubuntu","#4f5695","Ubuntu","2005.4.8",,,,,,,,,,,,
"N","Bardinux","#832c6a","Kubuntu","2006.7.7","2017.05.28",,,,,,,,,,,
"N","Ulteo","#4fb75e","Kubuntu","2006.12.7","2017.06.29",,,,,,,,,,,
"N","DEFT Linux","#555555","Kubuntu","2007.1","2007.12.06",,,,,,,,,,,
"N","Polippix","#66aacc","Kubuntu","2007.3.20","2008.04",,,,,,,,,,,
"N","Asturix","#55cc00","Kubuntu","2009.2.5","2013.01.09",,,,,,,,,,,
"N","Netrunner","#5997de","Kubuntu","2010.3.18","2016.10.23",,,,,,,,,,,
"N","Edubuntu","#a12726","Ubuntu","2005.10.13","2019.04.30",,,,,,,,,,,
"N","Arabian","#225571","Ubuntu","2005.3","2009.7",,,,,,,,,,,
"N","nUbuntu","#702b2e","Ubuntu","2005.12.18","2010.4.4 ",,,,,,,,,,,
"N","Gobuntu","#159033","Ubuntu","2005.11.24","2008.6.13",,,,,,,,,,,
"N","Xubuntu","#53525f","Ubuntu","2006.6.1",,,,,,,,,,,,
"N","NOI Linux","#53525f","Ubuntu","2007.6",,,,,,,,,,,,
"N","DEFT Linux ","#555555","Xubuntu","2007.12.06","2010.11.9",,,,,,,,,,,
"N","PC/OS","#000000","Xubuntu","2008.8.31","2017.11.27",,,"OS4","2012.7.11",,"Black Lab","2015.2.1",,,,
"N","Runtu","#3c72ae","Xubuntu","2008.10.1","2021.3.9",,,,,,,,,,,
"N","ue17remix","#a3b2c1","Ubuntu","2011.11.20","2014.6.26",,,,,,,,,,,
"N","Voyager","#f55a1b","Xubuntu","2012.5.3",,,,,,,,,,,,
"N","Mystras OS","#DD4B39","Xubuntu","2012.2.8","2013.5.9",,,,,,,,,,,
"N","Xinutop","#002658","Xubuntu","2012.5.2","2016.10",,,,,,,,,,,
"N","Peach OSI","#E64135","Xubuntu","2014.06",,,,,,,,,,,,
"N","ChaletOS","#797979","Xubuntu","2015.8.17",,,,,,,,,,,,
"N","GalliumOS","#6cd6de","Xubuntu","2015.11.10",,,,,,,,,,,,
"N","Christian Edition","#761f0c","Ubuntu","2006.7.23","2015.09.06",,,,,,,,,,,
"N","PUD","#5c7684","Ubuntu","2006.8","2011.11.02",,,"xPUD","2008.6.1",,,,,,,
"N","Linux Mint","#5fec52","Ubuntu","2006.8.27",,,,,,,,,,,,
"N","Ultumix ","#000","Linux Mint","2007.12.30","2008.11.15",,,,,,,,,,,
"N","quantOS","#1b1b1b","Linux Mint","2011.6.15","2012.2.28",,,,,,,,,,,
"N","Commodore OS","#66aaff","Linux Mint","2011.11.11","2015.06.08",,,,,,,,,,,
"N","Hiweed Linux ","#15A7E5","Ubuntu","2006.09.25","2015.12.30",,,"Linux Deepin","2009.12.02",,"Deepin","2014.04.15",,"deepin","2015.04.28",,
"N","DeepinX","#15A7E5","Hiweed Linux ","2014.5.17","2014.6.2",,,,,,,,,,,
"N","gNewSense","#c1b384","Ubuntu","2006.11.2",,,,,,,,,,,,
"N","Satanic Edition","#f00","Ubuntu","2006.12.13","2011.12.6",,,,,,,,,,,
"N","Linuxfx","#0056ba","Ubuntu","2007.1",,,,,,,,,,,,
"N","Muslim Edition","#57793d","Ubuntu","2007.1.14","2012.05.05",,,"Sabily","2009.5.12",,,,,,,
"N","Uberyl","#0066bb","Ubuntu","2007.1.16","2015.12.08",,,"ComFusion","2007.7.31",,,,,,,
"N","MAX ","#477dbe","Ubuntu","2007.03",,,,,,,,,,,,
"N","Madbox","#666666","Ubuntu","2007.3.17","2017.04.30",,,,,,,,,,,
"N","Ubuntu Studio","#0099ee","Ubuntu","2007.5.10",,,,,,,,,,,,
"N","Kiwi","#f4b75e","Ubuntu","2007.10.1","2015.09.06",,,,,,,,,,,
"N","Geubuntu","#ee8354","Ubuntu","2007.9.13","2012.03.17",,,"OpenGEU","2008.1.13",,,,,,,
"N","Greenie","#829b1a","Ubuntu","2007.9.14",,,,,,,,,,,,
"N","Linux Lite","#e8e8e8","Ubuntu","2012.10.26",,,,,,,,,,,,
"N","Ubuntulite","#60b3ff","Ubuntu","2007.9","2011.08.27",,,"U-lite","2008.11.6",,,,,,,
"N","Fluxbuntu","#53ff5f","Ubuntu","2007.10.26","2010.10.26",,,,,,,,,,,
"N","Mythbuntu","#000","Ubuntu","2007.6.4","2016.11.04",,,,,,,,,,,
"N","Moblin","#3366bb","Ubuntu","2007.7","2008.8",,,,,,,,,,,
"N","gOS","#60b384","Ubuntu","2007.11.1","2009.1.3",,,,,,,,,,,
"N","Eeebuntu","#669ad0","Ubuntu","2007.12","2015.03.05",,,"Aurora OS","2010.6",,,,,,,
"N","CrunchBang","#000","Ubuntu","2008.1.22",,,,"Bunsen Labs","2015.02.16",,,,,,,
"N","CrunchBang++","#333","CrunchBang","2015.2.15",,,,,,,,,,,,
"N","Zebuntu","#c8ff00","Ubuntu","2008.2.15","2018.01.1",,,"ZevenOS","2008.12.19",,,,,,,
"N","Ubuntu Rescue Remix","#ddaa11","Ubuntu","2008.3.6","2015.04.26",,,,,,,,,,,
"N","Ultimate Edition","#999999","Ubuntu","2008.5",,,,,,,,,,,,
"N","JULinux","#000","Ultimate Edition","2009.5.22","2010.3.12",,,,,,,,,,,
"N","JULinux ","#000","Ubuntu","2010.3.12","2014.8.5",,,,,,,,,,,
"N","JULinux  ","#000","Xubuntu","2014.8.5","2016.4.3",,,,,,,,,,,
"N","JULinux   ","#000","Ubuntu","2016.4.3","2018.7.11",,,,,,,,,,,
"N","Ubuntu Eee","#c8ff84","Ubuntu","2008.6.9","2011.04.26",,,"Easy Peasy","2009.1.5",,,,,,,
"N","Leeenux","#2e5f5a","Ubuntu Eee","2009.10.17",,,,,,,,,,,,
"N","Maryan","#000","Ubuntu","2008.7.18","2008.7.18",,,,,,,,,,,
"N","MoonOS","#4CC334","Ubuntu","2008.8.1","2013.12.31",,,,,,,,,,,
"N","Zorin OS","#055AA0","Ubuntu","2008.10",,,,,,,,,,,,
"N","INX","#d8ac08","Ubuntu","2008.10.5","2009.04",,,,,,,,,,,
"N","eBox","#f49d00","Ubuntu","2008.10.18",,,,"Zentyal","2010.9.1",,,,,,,
"N","CAINE","#f3a424","Ubuntu","2008.10.25",,,,,,,,,,,,
"N","Newtoos","#2b4083","Ubuntu","2008.11.13","2013.03.00",,,,,,,,,,,
"N","XBMC Live","#4c4c4c","Ubuntu","2008.11.15","2014.08.07",,,"XBMCbuntu","2010.09.13",,,,,,,
"N","Vibuntu","#bbbbbb","Ubuntu","2008.12.6 ",,,,"VINUX","2008.12.12",,,,,,,
"N","AV","#334466","Ubuntu","2009.2","2020.5.10",,,"AV Linux","2009.5.8",,,,,,,
"N","Qimo","#1070c0","Ubuntu","2009.2.18","2013.05.27",,,,,,,,,,,
"N","Monomaxos","#002299","Ubuntu","2009.3","2014.08.08",,,,,,,,,,,
"N","Lubuntu","#0169c9","Ubuntu","2009.4.13",,,,,,,,,,,,
"N","Peppermint OS","#ae000e","Lubuntu","2010.4.22",,,,,,,,,,,,
"N","DEFT Linux  ","#555555","Lubuntu","2010.11.9","2019.2",,,,,,,,,,,
"N","OSGeo-Live","#49a942","Lubuntu","2012.03.01",,,,,,,,,,,,
"N","LXLE","#474747","Lubuntu","2013.8.19",,,,,,,,,,,,
"N","DragonOS_Focal","#495E3E","Lubuntu","2022.7.4","2025.4",,,,,,,,,,,
"N","wattOS","#68b03e","Ubuntu","2009.6.29","2019.09.01",,,,,,,,,,,
"N","Zenix OS","#000","Ubuntu","2009.11.9",,,,,,,,,,,,
"N","Ylmf OS","#228c2a","Ubuntu","2009.12.26","2016.1.17",,,"StartOS","2012.3.27",,,,,,,
"N","Backtrack ","#557c94","Ubuntu","2010.01.9","2013.3.14",,,,,,,,,,,
"N","Element","#006600","Ubuntu","2010.2.17","2013.09.01",,,,,,,,,,,
"N","GnackTrack","#d73838","Ubuntu","2010.4.19","2013.12.15",,,,,,,,,,,
"N","Dax OS","#000","Ubuntu","2010.5.1",,,,,,,,,,,,
"N","Jolicloud","#37b9e3","Ubuntu","2010.7.9","2013.11.22",,,,,,,,,,,
"N","AriOS","#6282A9","Ubuntu","2010.8.11","2015.10.06",,,,,,,,,,,
"N","SecUntu","#aac8e0","Ubuntu","2010.9.1","2015.11.08",,,,,,,,,,,
"N","Tango Studio","#729fcf","Ubuntu","2010.9.6","2015.06.15",,,,,,,,,,,
"N","BackBox","#2e2e2e","Ubuntu","2010.9.9",,,,,,,,,,,,
"N","Dream Studio","#636","Ubuntu","2010.9.11","2016.06.27",,,,,,,,,,,
"N","Pinguy OS","#05a7fb","Ubuntu","2010.9.20",,,,,,,,,,,,
"N","Ubuntu GNOME","#0087ed","Ubuntu","2012.10","2017.10.10",,,,,,,,,,,
"N","NodeZero","#121315","Ubuntu","2010.10.6",,,,,,,,,,,,
"N","Bodhi","#5b860a","Ubuntu","2010.11.17",,,,,,,,,,,,
"N","Blackbuntu","#000","Ubuntu","2010.12.23",,,,,,,,,,,,
"N","P@xtreme","#000","Ubuntu","2011.1.8","2011.07.13",,,,,,,,,,,
"N","iQunix OS","#8866ee","Ubuntu","2011.3.15","2017",,,,,,,,,,,
"N","elementary OS","#47A8E9","Ubuntu","2011.3.31",,,,,,,,,,,,
"N","icefeast","#0053bf","Ubuntu","2011.4.21","2013",,,,,,,,,,,
"N","Sn0wL1nuX","#88aaaa","Ubuntu","2011.5.1",,,,"LuninuX OS","2011.11.9",,,,,,,
"N","Bigtux","#219cc5","Ubuntu","2011.6.9",,,,,,,,,,,,
"N","Jeoss","#595959","Ubuntu","2011.6.18",,,,,,,,,,,,
"N","Redo","#345278","Ubuntu","2011.7.1",,,,,,,,,,,,
"N","Pear OS","#777777","Ubuntu","2011.8.15","2014.01.20",,,,,,,,,,,
"N","Freezy","#000","Ubuntu","2011.11.3",,,,,"INFO:",,,,,,,
"N","Linkat  ","#fcbe32","Ubuntu","2011.11.25",,,,,,,,,,,,
"N","Descent|OS","#0066FF","Ubuntu","2011.12.13","2017.02.20",,,,,,,,,,,
"N","Arduloko OS","#155c06","Ubuntu","2012.2.21",,,,,,,,,,,,
"N","TorBOX","#000","Ubuntu","2012.2.29",,,,"Whonix","2012.9",,,,,,,
"N","Hybride","#9944ff","Ubuntu","2012.5.5",,,,,,,,,,,,
"N","Mandragora","#000","Ubuntu","2012.5.17",,,,,,,,,,,,
"N","jfLinux","#b0b366","Ubuntu","2012.5.21",,,,,,,,,,,,
"N","Penguin-OS","#000","Ubuntu","2012.6.3",,,,,,,,,,,,
"N","Ubuntu-Pack","#83c225","Ubuntu","2012.6.24",,,,,,,,,,,,
"N","Airinux","#000","Ubuntu","2012.6.28",,,,,,,,,,,,
"N","Santoku","#444254","Ubuntu","2012.7.25","2015",,,,,,,,,,,
"N","Vulnix","#000","Ubuntu","2012.9.10",,,,,,,,,,,,
"N","Ubuntu Kylin","#347DC4","Ubuntu","2013.4.26",,,,,,,,,,,,
"N","KylinOS ","#1086E1","Ubuntu Kylin","2014.12.11",,,,,,,,,,,,
"N","ExTiX","#E89447","Ubuntu","2013.12.23",,,,,,,,,,,,
"N","iLinux OS","#1A56C4","Ubuntu","2015",,,,,,,,,,,,
"N","Ubuntu MATE","#93ae67","Ubuntu","2015.2",,,,,,,,,,,,
"N","JULinux    ","#000","Ubuntu MATE","2018.7.11",,,,,,,,,,,,
"N","makerGNU","#00a191","Ubuntu MATE","2019.2.8","2019.3.12",,,,,,,,,,,
"N","Snakeoil OS","#FFCC00","Ubuntu","2016.02.29",,,,,,,,,,,,
"N","KDE Neon","#0AB23B","Ubuntu","2016.04.20",,,,,,,,,,,,
"N","Maui Linux","#5997de","KDE Neon","2016.08.16","2020.03.05",,,,,,,,,,,
"N","Budgie-Remix","#404455","Ubuntu","2016.04.24",,,,"Ubuntu Budgie","2017.04.13",,,,,,,
"N","Pop!_OS","#48B9C7","Ubuntu","2017.06.29",,,,,,,,,,,,
"N","Drauger OS","#FB1F2C","Ubuntu","2018.05.04",,,,,,,,,,,,
"N","Tux Linux","#000","Ubuntu","2019.1.1",,,,,,,,,,,,
"N","SereneLinux","#26c6da","Ubuntu","2019.4",,,,,,,,,,,,
"N","Ubuntu Cinnamon Remix","#de6a2b","Ubuntu","2019.10.20",,,,,,,,,,,,
